id,input,label,Abbreviation,Phonetic,Orthographic,Semantic,Emoji,Other
4041,球员工会力挺字母哥：雄鹿让他强行休战是摆烂行为,不违规,,,,,,
4042,特别怀念和小宝藏一起追《藏海传》的美好时光，这个视频又勾起了那种全网跟着大家讨论的开心，只是有一点说的不对啊，俺们听暗香的还没有当奶奶啊！ L娱乐小甜兔的微博视频 ​,不违规,,,,,,
4043,短视频的“毒”是如何让我们一步一步“上瘾”的,不违规,,,,,,
4044,#谭松韵长文告别我的山与海# 谭松韵笔下的方婉之，藏着普通人所有的坚韧与温柔。她陪角色走过三十年风雨，把那些被命运轻贱的时刻，都过成了向阳而生的诗。 ​,不违规,,,,,,
4045,青训教练：巴萨小将塔瓦雷斯会让英国球迷联想到亨利那种球员,不违规,,,,,,
4046,#肖战的藏海传真的太猛了#  #肖战藏海# 我们精品剧王《藏海传》，那是超级好看哦～而我们家藏海大人肖战 ，更是权谋复仇界精品角色中的精品～～～～ ​,不违规,,,,,,
4047,有网友在三亚偶遇撒贝宁，他真的好喜欢来这度假！感觉他每年的日程，就是带老婆孩子天南地北的大玩一圈，然后其中一站，一定有三亚！ ​,不违规,,,,,,
4048,果冻一样Q弹软糯的鲜牛肉，油脂丰富，入口即化。 L赐泠的微博视频 ​,不违规,,,,,,
4049,开河季成为沿黄文旅消费“新名片” 一条鱼“游”出村民致富产业链...,不违规,,,,,,
4050,我妈来找我呆一阵玩 这几天带她疯狂吃玩逛 化身走路狂魔 把我累瘫了 但 很奇妙的体验 尤其今天 和好朋友一起 带着各自的妈妈去上海玩 很开心 很温馨幸福 但是草泥马昨天晚上我在路边花100多买了个八斤榴莲 回家一看长毛了？？？！ ​,不违规,,,,,,
4051,逐玉那条看到大家说嘴替我心里真的好开心，天知道别说我上互联网我以前奉行的人生宗旨就是表达至上，从在前圈靠reaction被看到，到这个18楼坚持做re做直播坚持我的微博一定要说心里话，到现在，被肯定表达这件事永远是我最最最最开心的事 ​,不违规,,,,,,
4052,喜欢下雨天宅在家里,不违规,,,,,,
4053,我俩在UR玩给彼此挑一身衣服的游戏，两个人都选了和对方风格完全不符的衣服，结果意外地合适那天起我就乐意穿浅色的衣服了 ​,不违规,,,,,,
4054,少吃真的会瘦,不违规,,,,,,
4055,考完了专八，和春运回来的朋友们吃了饭，去拍了花，和好久不见的球搭子打了网球，也见到了好久不见的姐姐。可能真的是在疯狂牛马城待久了，回来看到热热闹闹的东南门都觉得好温暖好珍贵。回来说的最多的一句话就是“好幸福啊西安” ​,不违规,,,,,,
4056,感受初学高尔夫球的每一帧和运镜 ​,不违规,,,,,,
4057,暑假是最不适合出去玩的热得要死 暑假去青岛对它留下的唯一印象就是热每天都好热每天都大汗淋漓的根本没心思欣赏海啊什么的现在翻翻相册才发现其实那时候的海也挺美的就是人太多了想不明白我怎么会有这么多人 每天跟下饺子一样 ​,不违规,,,,,,
4058,#今天劳动节，自己动手，丰衣足食，学做的见笑了 #自己动手丰衣足食，有想吃么想吃快来吃哦 #动手做美食，友友们五一快乐！,不违规,,,,,,
4059,"〈青苔〉
当男高萧逸遇上了你…
O01:柠檬味的夏天
01:柠檬味的夏天
#光与夜之恋#光与夜之恋萧逸超话#萧逸#
你第一次遇见萧逸，是在夏日的午后，你和你的男朋友正挽着胳膊叩响了恩师的办公室大门

“看什么看得津津有味？” 男朋友的声音将你从恍惚中拉了回来
“我在看操场上的学生打球”
“帅吗？”
“嗯，不然我也不会看”

他似乎还想追问什么，却被你出口的话语堵住了嘴
“赶快进去吧，别让老师等久了”
“好”

拜访完老师，你男朋友在办公室又呆了会儿，你从办公室里走出来，目光投向刚才青春四溢的操场

阳光恰好照射在男孩的发稍，那优越的眉骨，棱角分明的侧脸，汗水从鬓角流落，男孩自然而然地掀起校服擦了擦——引得众人纷纷尖叫的是他瘦而不柴的身体，八块腹肌，人鱼线，宽肩窄腰…

“这也，太适合当我的模特了吧”

你背靠着墙壁，手肘撑在另一只手背上，磨蹭着下巴仔细观察他：“可真有活力，羡慕啊羡慕”

等操场的众人散去，你悄然地来到他身边

“同学，请问…”

故意制造的近距离，让男子转身便和你贴的紧密

“啊，不好意思” 两人异口同声，瞬间分开

慌乱之中，他的钱包从手中脱落，你顺势捡起，在身份证露出的一角看到了他的姓名——
“萧逸同学，你的钱包”
“谢谢，你怎么知道我的名字？”
“诺，身份证可别丢了”
“好”他收拾好书包，正准备离开被你拦下

“萧同学，请问你知道学校食堂怎么走吗？”
“你迷路了吗？我带你去吧”
“谢谢啊”

不得不说，读书的少年和上了班后的人就是不同，他整个人洋溢的笑容正是你这个时期少有的美好

萧逸话不多，但你问他就答

“你是高几的学生？”
“高二”
“有目标了吗？”
“有”
“成绩好吗？”
“中等”
“家里情况如何？”
“不愁吃”
“姐姐想签约你，你意向如何？”

在走上坡路，他顾及到你穿着高跟鞋，步伐变慢，却在听到你这句话时停滞
“很多钱吗？”
“嗯，你想要多少我尽可能满足，并且不会耽误…”
你话还未说完，他便点头答应你：“好，给我一个电话吧，姐姐”

缘分就是这样妙不可言，一根红色的丝线在你们二人之间缠绕展开

周末的空余时间里，你和萧逸签约了，你承诺给他日结工资并且有车负责接送他上班

工作室里议论纷纷，有人传着你和高中生的谣言，有人散播你上位第一事便是剑斩有情郎，还有人背地里说你忘恩负义，收了男朋友家多少好处，现在倒打一耙

你的男朋友，工作室的投资人之一，公司老总的儿子，听到这些风言风语后自然坐不住了，气势汹汹来你这儿宣示主权

“怎么回事？”
“什么怎么回事？”

你躺在办公室的沙发上，眼神愣是没分他半点，看着今年服装出售量蹭蹭上涨，心里笑开了花

“你和那个高中生在一起了？”
“别用你肮脏的心理来判断世界上所有的感情和关系”
“好啊好，你说你是清白的，苍蝇不叮无缝的蛋，这些谣言又是从何而来？”
“工作室的实际话语权不在我手中，底下的人怎么说我也只能受着，要不，你把总监的位置让出来我坐，自然就没人敢说这些话了，你的面子也就留住了”

剑拔弩张的氛围下，萧逸出现在你们视野里

“设计师姐姐”

你摆了摆手，示意助理将他带至试衣间，看到人走后，你将手轻轻搭在男朋友的肩膀上

“你也知道自己的水平不行，整个工作室是我在帮你兜底，如果你不早早让位，那我只能把你去年比赛抄袭的事说出去了”
“你…我回家就和我妈说把你给撤了，看谁相信你”

怒气冲天的来，垂头丧气地离开，你看着他的背影笑出了声

你走向试衣间：“还没换好衣服吗？”
“还没，这个衣服有点难穿”
“需要帮忙吗？”
“需要”

门从里打开，萧逸背对着你，首先映入眼帘的便是他背上几道长长的伤疤，你不好多问

你的直觉果然不错，萧逸的三角肌很发达，他应该是有健身的习惯

冰凉的脂腹一贴近身体，他便止不住地颤抖
“放松，这个绷带有点难系”
“好”

空气中弥漫着清新的柠檬香味，你想起来他的衣服上总有这种香气，没想到这人身体也被柠檬香给熏透了

“姐姐，刚才那位是你的男朋友？”
“嗯，不过马上要成为我前男友了”
“看着不像什么好人，刚才他打电话我都听见了”
“他骂我什么？”
“姐姐不用在意这种人，我很喜欢你的设计，真心的”
“谢谢啊，我也喜欢”

萧逸的拍摄过程很快，明明没经过什么专业的模特培训，却总是能将你的设计表达的淋漓尽致，不论衣服还是珠宝，完全无师自通

“姐，你别说，你这次找的模特完全是个宝啊，不会是你的新欢吧？” 小助理嘴巴碎，总爱调侃你，不过她算这个公司你唯一相信的人
“他才高二！我和他在一起？算了吧”
“啊，你们看着真挺搭的”
“别啊，我不会和工作伙伴牵扯上什么关系，不过，你刚才提醒我了，这种宝，我一定要带走”
“那我呢，我呢？”
“一起打包带走”

就在公司给你下达指令的前一天，你推开了董事长的大门

“董事长，我申请辞职”
“哦？和他吵架了？”

女人穿着打扮十分讲究，她撑着下巴，目不转睛地盯着你上下打量，像在看一个合格的商品，眼神挪开时还带着一丝淡淡的微笑
“不是的，董事长，在您教导下，我学会了很多，我和他的事分手了，但这和我辞职无关”

仲夏夜，知了在窗外叽叽喳喳叫个不停

你以为是外卖到了，连忙跑去开门，拖鞋都没来得及穿

“萧逸？你怎么来了？你怎么知道我家在这儿？”

他没立即回答而是生疏地给了你一个拥抱，又是好闻的柠檬香，男孩的白衬衫领口处已然是被洗衣粉洗久后磨出来的淡黄色，不过爱他的人在这里缝上了一朵鸢尾花作为点缀

你被他的举动打个措手不及，男孩的拥抱十分有分寸，转瞬间离开

“怎么了？”
“怕你离职伤心”
“啊？是不是我助理给你说的？这个大嘴巴，算了算了，你快进来吧”

第一次来你家，萧逸变的些许拘谨，正襟危坐在沙发上，你起身，他便起身，你坐下，他才敢坐下

“说吧，有事找我？”
“有，我想问，你会把我带走吗？不是签了合同吗？”
“小家伙，怕我坑你？”

你突然凑上前，撩开他挡住眼睛的碎发
“放心，你这块宝，我当然舍不得给他们，他们那儿可是狼窝！”
“那，那就好” 他的声音越来越微弱，你是一个字也没听清

你抬头望向窗外，此时阴云密布，方才吵闹的知了也没了声儿，怕是马上要瓢泼大雨倾盆而下了

“你今晚就在我家睡吧，沙发上呆着，不介意吧？”
“好，谢谢姐姐”

津北离光启足足三个小时，少年不会开车，这一路上不知道转站了多少交通工具来到你身边

雨后，今夜的月亮格外的明艳，和你透出的那半分幸福一般 收起d",不违规,,,,,,
4060,#黄景瑜好仔细的吃播#吃个润喉糖：一套丝滑小连招——要么掉地上，要么打到自己。黄景瑜吃东西前摇也太长吧！吃个小饼干：小口尝，甜不甜是关键，回头还要瞄一眼热量表。i健身人的素养拿捏得死死的！#黄景瑜进食自带萌点# ​,不违规,,,,,,
4061,澈汉超话 考古学家每日精选保龄球馆不常见的情侣类型/220323 going ​,不违规,,,,,,
4062,今天是第66个世界气象日，主题为“测今日气象，护明日家园”。作为经常在外面拍风景的我，喜欢随手记录旅途中的一切。而且感觉手机图比较真实，更还原肉眼所见希望这篇图文能启发大家，多随手记录自己遇到的天气现象与变化，因为气象是最贴近生活，与每个人都息息相关的存在下面我来介绍一下这些图（全部为手机直拍）图1、2：随手拍的火烧云图3：一大片雨幕图4、5：草原上的风暴和彩虹图6：层次超好的火烧浓积云图7：火烧乳状云图8、9：夜晚的雷暴图10：弧状云过境图11：正在发展的浓积云图12、13：山顶的云海图14：夜晚超浓的雾图15：崇明日出前的大雾 #世界气象日##天象##微博影像年# 收起d,不违规,,,,,,
4063,赌博的认定与处罚标准是多少-法律知识|律图,不违规,,,,,,
4064,谷歌发布最高质量音频模型Gemini 3.1 Flash Live，低延迟、高精度响应，打造实时语音交互新范式,不违规,,1.0,,,,
4065,杭州WSET二级葡萄酒课，第 3天授课。本次课程，又有年轻夫妻，一起来学习葡萄酒，两人相处有个共同爱好，挺好的！以前，相伴来上课的，还有情侣、母女、姐妹、兄弟、姐弟，真是温馨甜蜜！ 2杭州·杭州庐境西溪酒店 ​,不违规,,1.0,,,,
4066,现在才第二天感觉已经玩了好久了我在就在海南！！！#海南旅游# ​ 专栏 · pyq（👁版） ​,不违规,,1.0,,,,
4067,管不了一点，他就是要秀#博君一肖##视频黑马扶持计划# L狮兔并肩的微博视频 ​,不违规,,,,,,
4068,我总能看到一些人背后的光,不违规,,,,,,
4069,肖战超话#肖战的藏海传真的太猛了##肖战藏海# xz #肖战有种老实人豁出去的感觉#我get到肖战同款冷知识，我也喜欢闻雨后泥土的味道，就是很大自然的气息，清新舒缓，芳香怡人。肖战#肖战藏海传#.#藏海传#.L狐厂大拷问的微博视频 ​,不违规,,,,,,
4070,黄景瑜超话#黄景瑜梦之海# 🔥#黄景瑜时装男士三月刊封面# 支持支持！太帅了这哥 ​,不违规,,,,,,
4071,编程新手如何系统学习数据结构与算法？,不违规,,,,,,
4072,每一瓶花花都好美呀～ L百科技能达人的微博视频 ​,不违规,,,,,,
4073,谢谢姐妹们关心，今天已经重新下载无畏契约了。的确是一场误会，无畏契约平时对我很好，我上次也是气急了才发出来说不玩的。不是无畏契约的问题，我自己也有缺点，希望大家都能快乐上分呀 ​,不违规,,,,,,
4074,东北农村生活一天干了点啥今天真热闹 #vlog十亿流量扶持计划 #农村生活 #青年创作者扶持计划,不违规,,,,,,
4075,年薪1亿欧，意大利记者爆料萨拉赫将加盟沙特联赛,不违规,,,,,,
4076,🤍🖤个人博  | 慎关 닏도.zip专注养小羊小狗中 ​,不违规,,,,,,
4077,太幸福的周末了！朋友和家人都来找我尤其是昨天晚上回到家发现我姐一家都在她们很随意 感觉把家里都“翻”过来了但是我还蛮喜欢这种随意一起去吃了胖子克算没有选错 味道依旧不错点了好多菜 都想让他们尝试一下车上 饭桌上和⭕️打闹玩游戏关键是 这次我请客吃饭了她们回去的时候 说马上就能见了她们摇下窗说 他们生日能见到我吗 收起d,不违规,,,,,,
4078,世界杯附加赛变火药桶！哲科贝拉米互怼，教练组也卷入冲突,不违规,,,,,,
4079,"#心动凉州城# 【精治河湖守清流 生态武威展新颜】春日时节，武威海藏公园内碧波荡漾、水清岸绿，赤麻鸭等水鸟在湖面悠然嬉戏，市民沿木栈道晨练、散步、休憩，尽享人与自然和谐共生的美好图景。这正是武威市深耕河湖生态治理、以精细化管护守护水清岸绿的生动缩影。

近年来，武威市高位推进河湖综合治理，以提升水环境质量为核心，严格落实河湖长制，充分借鉴凉州区治理经验，多维度发力推动全市河湖生态环境持续改善。创新推行划段包片、徒步巡查制度，建立“周二排查问题、周五复查销号”的闭环管理机制，确保河湖问题早发现、早处置、早清零。在全民共治上，该市持续强化宣传引导，充分激发群众护河爱河积极性。开通24小时有奖监督举报电话，依托“世界水日”“中国水周”等重要节点开展主题宣传；常态化组织志愿者每周二、周五沿河道开展垃圾清理、环境整治，以实际行动带动全民参与，让护河爱水成为社会自觉。在监管执法上，全市坚持协同联动、靶向发力，不断提升河湖治理效能。市河长办联合青海海东、西宁等市开展跨界河流共护共治，健全“三长”联合巡查机制，借助检察公益诉讼职能督促问题整改，实现河湖“四乱”问题全流程闭环管理。

如今，武威市9个国控、省控地表水断面水质全部稳定达到Ⅱ类及以上，“河畅、水清、岸绿、景美、人和”的生态画卷在凉州大地徐徐铺展。（图片由王丽摄）#新武威新发展# #丝路千年话凉州# 收起d",不违规,,,,,,
4080,最近看比赛处于一个一晚上支持的不是全输就是全赢的状态 深蓝色的Team Wranaa赢了 天蓝色的city求求你赢一下吧 最近看球看的真的力竭了#比赛日# ​,不违规,,,,,,
4081,"#炒股箴言# 股票想赚快钱死的更快，慢慢赚还要死守价值！

太对了。
股市里**想快就是慢，想慢才是快**；
**追涨是送死，守值才是活路**。

真正赚大钱的人，从来不是天天盯盘、追热点、赌涨停的，
而是**看得懂价值、耐得住寂寞、守得住原则**的人。

- 快钱是诱惑，是镰刀最喜欢的猎物
- 慢钱是规律，是时间站在你这边

**心不贪，手不乱，价不贵，守得住**，
钱自然会慢慢来找你。 收起d",不违规,,,,,,
4082,DAY 1790 🍼9491.昨儿晚上又拍了一条，蛋面的好好看哇2.咱就是说，这灯该怎么看？红绿一起现身3.早晨起晚了，来不及给安妹做饭了，菜答兑出来之后就出门了，路上赶紧给婆婆发信息让她早点来给安妹做菜4.中午还是点的三宝外卖，不油腻还挺好吃5.安爸终于把自己家里的围栏拆掉了，他还给自己隔出一个划船空间，他说要减肥，嗯，拭目以待吧，打了个赌，他减掉五斤就给他1000块，看他能挣多钱 收起d,不违规,,,,,,
4083,"双高胎超话 一到晚上就变得感性起来第一次追线下，想讲一下昨天晚上其实当我意识到抢到的票的观演人信息是我朋友，并且非常能意识到哥俩这次对于错票黄牛票有多严格的时候，我就已经从一开始的焦虑变得逐渐平静了，想着进不去那就让我朋友去帮我领个伴手礼吧，其他的就当我临时有推脱不开的事情所以才看不了的，但是还是有一点期待，万一呢，万一跟工作人员好好解释清楚了也能进呢，于是怀着这样的心情一直到今天，因为我下午有课，所以我朋友自己先去了，我在下课以后紧赶慢赶在七点之前到了剧院。有好多老师在发物料（老师们的物料都特别特别精美！！）我朋友帮我领了超级超级多的物料，我实在有点太I了一个伸手都没要到，被一个路过的老师猛塞了一把（幸福突然降临）。在这个广场我感觉好幸福啊，周围都是同担，喜欢着同样的人和作品后面就要排队入场了，我和朋友说就算进不去也没事，我们还收获了好多好多物料呢，我们排在队伍的最后面，想等所有人都进去再跟工作人员解释，别影响到别人检票。跟我朋友聊着天一回头我们后面又排了一长队的人，我们又回去了最后面，一个黄牛路过说“要票吗”，真的很不要脸！！后面队伍越来越短，我也越来越紧张，当几乎没人排队的时候，我朋友说去找工作人员解释，我的压力也达到了极点，我感觉我四肢都很无力，眼泪控制不住地流了出来（我真的没有想哭的）。交涉的结果很显然不让进，并且有很多这种类似的情况的人都进不了。听到有人说“恨他俩一辈子”我真的觉得很伤心，不应该是这样的啊。必需得说工作人员真的都很负责，后面还给有证明的人拿了伴手礼，工作人员小姐姐们还帮忙拍照其实看不了他们的节目当然是比较遗憾的一件事，但是我觉得这点遗憾并不能占据主导地位，因为我感受到了双高胎对粉丝的重视，同担们的热情，这些更值得我来记忆，而且，双高胎的喜剧会一直升番到100岁，专场也会一直开下去，我们未来有很多见面的机会！
我真的觉得昨天是开心的一天！（但是看到各位老师们拍的视频依旧会忮忌） 收起d",不违规,,,,,,
4084,最近入坑了另外一个游戏  （打定主意这次我要零氪咳咳）才发现空子的游戏机制有多寡 这边人是画的丑了点 但是文案也太好了吧 一个小故事结局的反转突然有种击中灵魂的感觉 …就是半夜玩微恐属性确实有点子吓人…主线和支线都好长，每天都有了新的期待 开熏🍬🍬🍬 ​,不违规,,,,,1.0,
4085,#春日华山桃花映山雪好浪漫#【绝美！#西岳华山半山桃花半山雪#】三月的西岳华山，远处山顶白雪皑皑，山脚下野桃花竞相绽放。半山桃花半山雪，春色雪景相映成趣。伴随 UNIQ-王一博 的歌声，一起#打卡春天里的大美中国#！（都红刚、黄建荣、杨波） L新华社的微博视频 ​,不违规,,1.0,,,,
4086,阿斯：马斯坦托诺的表现与预期相去甚远，但皇马依旧很相信他,不违规,,,,,,
4087,#微博旅行家##武汉# 三月武汉，樱开满城。风沙与铁甲，终究抵不过一场漫天飞花的春日浪漫。 2武汉 L摄影师-CHACHA的微博视频 ​,不违规,,,,,,
4088,谢苗安志杰这部电影实在太经典#三分钟视频助燃计划##三分钟安利佳片##跨年电影愿##三分钟追完一部剧#因为一个片段看了整部电影XAI荐影麻瓜看电影超话 2北京·汉威国际广场 L电影铺子胡杨林的微博视频 ​,不违规,,1.0,,,,
4089,是的，我完成了，我备了课，背了单词，我还读了书，现在刚刚好的困倦，金钱家里面的情况其实还是很压力我的，看得我情绪起伏了一下，感到很无助，很痛恨自己的无能为力读书读到了什么，每个人金钱观不同因为生活经历不同，理财不是计算出来的，理财是种心理科学，我们不擅长理财，因为我们是新手，人类对于理财也只是新手。 收起d,不违规,,,,,,
4090,翻出一张2020手机里第一张xun的照片，也从一个瘦骨嶙峋的小孩长成大人了 ​,不违规,,,,,,
4091,梦中的那片海  全38集  4K百度➕夸克⬇️《梦中的那片海》由肖战、李沁‌领衔主演的年代情感剧 。以‌20世纪70年代的北京‌为背景，讲述了肖春生、佟晓梅等一群青年在时代变革中经历高考、参军、从商，最终成为改革开放弄潮儿的励志故事。‌‌#肖战梦中的那片海# ​,不违规,,,,,,
4092,"刚先行服匹配到了一个玩电子龙的哥们，哥们是真魂啊基本没啥手坑纯展开做场。第一场出了个高攻有抗性的电子永恒龙，要不是我新卡强还真解不掉。第二场被对面负载融合出来的狂暴龙梆梆两拳给我带走了。第三场对面出了个凯皇龙，可惜这大哥攻击性不强，要是场上还搭配了二哥，估计这场我还真不好打。最后冥神把全场都给扬了结束战斗
这哥们真的魂，太魂了。相比之下用新卡组的我简直就是占了时代的便宜 收起d",不违规,,,,,,
4093,全民禁毒 | “远离毒品，珍爱生命,不违规,,,,,,
4094,20岁中国中锋杨瀚森，被开拓者列入扩军8人保护名单。他去年首轮16顺位进NBA，后被交易至开拓者。新秀赛季场均2.2分1.5篮板，上场时间仅七八分钟，还曾被下放发展联盟。但开拓者不看当下数据，球队正围绕亨德森等年轻人重建，看中他7尺1的身高和内线天赋。NBA董事会即将投票扩军，西雅图和拉斯维加斯或新增球队。各队可保8人，开拓者选杨瀚森，显然是赌他未来五年价值#nba##开拓者##杨瀚森# 收起d,不违规,,,,,,
4095,#基层动态#【科普义诊进工地，专业守护暖人心】近日，羊尖镇卫生院组织医务人员走进中铁七局建筑工地，开展急救知识科普与健康义诊活动，以专业服务为建筑工人的健康保驾护航。活动中急救医师徐铁岩结合工地作业场景，用通俗易懂的语言讲解急救知识，手把手演示海姆立克急救法，细致传授心肺复苏操作要点，针对高温环境下易发生的中暑、触电等突发情况，讲解应急处置流程与预防措施，让工人们快速掌握实用急救技能，提升自救互救能力。在随后的义诊中，内科、外科、中医科医护人员为工人提供免费问诊，逐一解答常见疾病疑惑；血压测量、用药咨询服务精准高效，健康科普资料免费发放，从日常饮食调理、职业病预防，到季节性疾病防护，全方位传递健康知识。此次活动将急救科普与便民义诊相结合，既解决了工人的日常健康需求，又筑牢了工地安全健康防线。未来，羊尖镇卫生院将持续开展这类惠民服务，把优质医疗资源送到群众身边，用实际行动守护群众的健康！（拟稿：陆敏霞  审核：卫宣  发布：朱莹） 收起d,不违规,,,,,,
4096,动漫杂谈区真的需要更多这样逻辑顺畅、言之有物又加入巧到好处幽默感的女up。长时间以来点开动漫杂谈视频很多男up大喊大叫的公鸭嗓就够让人难以忍受了，除此之外还时不时开黄腔玩烂梗与bro同乐……真的好久没看到如此高质量的动漫杂谈，虽然视频很长很多角色我也不认识，但我竟然看完了甚至被安利到！对此我只想说：恭喜StellaaQ可以在动漫杂谈区撑地了！ 收起d,不违规,,1.0,,,,
4097,最後這段真的好好玩 kkkk 動作非常俐落有默契 🐶🐿視頻轉：sunset_ge / idolobservation# 老友日常 ​,不违规,,,,,,
4098,川普在以色列表面拦截效率下降后 加大威胁力度，说要彻底拆了伊朗的电网基础设施~口头威胁没有用的，从伊朗这次开战到现在的反应看，他们确实做了长期斗争的打算，目前看还是有章法的~美以现在只能赌再炸死几个伊朗高层，底下造反是很难的了~然后美以照说应该加大航空力量在伊朗领空存在时间，做到伊朗发射就被发现立即打击~现在这种战果美以发出的显著少，绝大多数都是炸固定目标~比较12日战争以色列发出的对伊朗地对地导弹无人机打击视频的数量，这次到今日开战23天，美以两家一起都没有超过。我推测造成这种情况的原因是 海湾周围的基地美军无法敞开使用导致全部空军都要劳师远征，其次伊朗改变了作战策略没有短时间高密度发射给美以空军高效率打击的机会。之前一次50个车堆一起发射，以色列人飞一次3000公里就能打个几十辆。现在一次打个几发，还分开时间，美以飞3000去没赶上，下次飞过来得几个小时~川普还是可以通过投入地面作战改变一下可能的走向，虽然风险也很大，但比起现在这样甚至慢慢让伊朗在场面上燃起来要好。#拉里贾尼遇害##美伊以冲突# ​​​ ​​​​ 收起d,不违规,,,,,,
4099,宝宝，在干嘛呢？有吃到云南什么好吃的吗？黄俊捷H ​,不违规,,,,,,
4100,台词张力拉满，微表情封神，人皮密室、墓道逃生全程高能。收视热度断层登顶，口碑热度双爆，年度剧王实至名归✨#肖战的藏海传真的太猛了# 有演技，有颜值，人品好，向全世界安利最好的肖战❤️ L花痴23战的微博视频 ​,不违规,,,,,,
4101,朗斯反对无效！法甲确认争冠战延期为大巴黎欧冠让路，2队仅差1分,不违规,,,,,,
4102,乌度卡在赛后谈及谢泼德时，言语中充满肯定与鼓励。他强调：“我一直告诉谢泼德，不要因为投不进就失去自信心，而他的自信从未动摇。他一直在做正确的事情，今晚在挡拆中打出了一些非常好的表现，而且还防守了一些比他高大的球员。所以我不认为他的自信消失过，他只是投进了之前投丢的球。” ​,不违规,,,,,,
4103,"#张靓颖回应do脸翻车#
#张靓颖专辑和脸都do了#
张靓颖talking: 你们是不是认为我在做专辑，他确实有做。但一个多月没见你们，不是这个原因，主要是做脸去了，因为好不容易有个二十多天的假期，结果稍微那个over了一点点。所以今天我立志要做好我的表情管理。对不起了广州的朋友们，今天我是个不笑女。没有关系，两三个星期的时间很快就好。因为你们真的是赶上了毕生以来一次翻车，现场可以看一下今天我的妆是不是比平常要浓一些。所以今天记得一件事情哦，记得一件事情我没有不开心，我非常没有不开心。 L娱乐圈新鲜事的微博视频 收起d",不违规,,,1.0,,,
4104,好好睡觉💤 #好梦正在派送# ​,不违规,,,,,,
4105,#桃花坞上新人了#全新第六季来啦！常驻与新成员的重庆录制，路透赚足眼球啦！继《你给我的喜欢》后，王哥和小海又在一起合作啦！期待陈鑫海的表现，玩得开心！陈鑫海Ocean 五十公里桃花坞超话 ​,不违规,,,,,,
4106,今天看了运动会，我倾向至少从运动会到现在他俩还是处在同一个阶段，累死了运动会好长25比较好的点是人少，那样每个人都东西就多了，然后麦麸kpi肯定有的但他俩麦麸的样子很呆傻，无论运动会还是ryzz，笑死我了我kpi完不成了倒是，我今天课没听都，沉浸式运动会了，还没看完还有个尾巴太长了 ​,不违规,,,,,,
4107,斗罗大陆：海神亲自插爆比比东，神技变“神挂”，唐三捡回一条命...,不违规,,,,,,
4108,起床好累QAQ4🌙还没睡打电话给我8收到投喂10拼车的人迟到了司机拽得要鼠...6碧螺春拿铁好好喝～8练完体能内啡肽大爆发8分了个团要赶舞蹈进度7练舞衣服穿得不好看6坐地铁回家6和🌙聊去哪儿玩8点外卖吃吃吃辣辣辣8又看上下辈子好好过了好可爱8完成了90%洗漱流程，真厉害！8写上情绪日记了好厉害👍🏻9 收起d,不违规,,,,,,
4109,励志哲理人生超话 若你决定灿烂，山无遮，海无拦；人生的意义永远在于拓展，而不在于固守。时间是最公平的判官，你敷衍它一寸，它便薄待你一丈。 ​,不违规,,,,,,
4110,"娱乐圈可爱多超话

新剧开播《冬去春来》首更4集，需要自取！白宇&章若楠主演！

K：O网页链接
D:O网页链接 

90年代的北京，冬去春来小旅馆，见证了一群来自天南海北怀揣梦想的青年男女跌宕起伏的北漂生活。痴迷剧本创作但不断被退稿的徐胜利屡败屡战；渴望站上高雅舞台的歌手庄庄却只能在走穴商演中求生存；希望能演女主角的沈冉冉在浮华娱乐圈面临着机会与选择；一身才华的萨克斯手陶亮亮在天桥下吹奏给路人实现自己的音乐梦；热爱文艺的群众演员郭宗宝为了给妻儿治病拼命干杂活儿努力赚钱；想一鸣惊人的画家曹野满脑子先锋艺术可惜无人理解。他们为了梦想努力拼搏，但现实总是残酷和无奈，走过千禧年，来到新时代，他们有人还在坚守，有人被迫放弃，但艺术的火种在这群人心中永远不曾熄灭…… L满城涓涤尽别离的微博视频 收起d",不违规,,,,,,
4111,娱乐🍉华策《第二十八年春》导演: 黄天仁主演: 王天辰、郭晓婷Q3季度开机，集数36，当代都市重逢 ​,不违规,,,,,,
4112,五一劳动节最该休息的人是谁？#人类对豆包的开发不足百分之一 #豆包 #豆包知道 #五一劳动节,不违规,,,,,,
4113,在今天最后一分钟通关pokopia了😎杳无人迹的场所、被火山灰淹没的建筑、暗无天日的海滨、还有这还能用的GameBoy以及最后的任务，一切意义都可以连起来。不过原以为是DQB2代餐，但好像没有DQB2给我那么爽的感觉，原因可能在于建筑过于啰嗦耗时，以及资源箱不互通这种反人性的设定，操作起来太不舒服了，想要建设的耐心已经耗得差不多了。除去这些，如果真心喜欢宝可梦应该会玩得挺爽，因为真得生动太多了，六尾跑过来的时候我都想隔着屏幕摸一摸，离宝可梦生态又近了一步了。总的来说宝*们值得一玩。 收起d,不违规,,,,,,
4114,"#黄景瑜时装男士三月刊封面##黄景瑜时装男士三月开季##黄景瑜未来序章大片#黄景瑜超话

在Johnny黄景瑜 看来，世界每秒钟都在变化，大多数目标都有可能成为“刻舟求剑”。他的目标可能更多存在于眼前正在努力的事，比如一个角色，或者一次旅行。把此刻的热爱与努力，活成最踏实的方向。
",不违规,,1.0,,,,
4115,黄礼志ins更新yezyizhere：Arena Homme🖤 ​,不违规,,1.0,,,,
4116,"世界十大最深的海排名,科学,地理知识,好看视频",不违规,,,,,,
